id	P_sum_CAM	P_sum_Estr	rel_diff_P	T_mean_CAM	T_mean_Estr	T_diff	Epot_sum_CAM	Epot_sum_Estr	rel_diff_Epot
CH000010	1526.154	1595.649	4.55360337161256	2.16710882956879	2.09177549623546	-0.0753333333333335	496.2075	497.815	0.323957215479403
CH000011	1189.5105	1082.9845	-8.95544848069856	9.08529911019849	8.71093360711841	-0.374365503080083	669.3585	812.8305	21.4342538415513
CH000013	1392.2	1212.5375	-12.9049346358282	8.15292950034223	8.56917316906229	0.416243668720055	577.401	730.2905	26.4789115363499
CH000015	1669.1515	1594.767	-4.45642591460391	1.84671868583162	1.88778097193703	0.0410622861054071	502.1665	487.4975	-2.92114268872972
CH000019	1548.184	1225.8155	-20.822363491678	6.80770978781656	6.98904722792608	0.181337440109514	596.153	721.778	21.072610554673
CH000020	1353.7785	981.148	-27.525219228995	1.46820944558522	1.91321149897331	0.44500205338809	495.7735	568.146	14.5978960150149
CH000024	1639.891	1597.0515	-2.61233825906722	3.54629021218344	3.21662696783025	-0.329663244353183	648.3305	542.506	-16.3226163199171
CH000025	1694.43	1596.8455	-5.75913434016158	0.465043121149897	0.965775496235455	0.500732375085558	430.1495	443.825440114772	3.1793458122751
CH000031	1235.0015	1131.2065	-8.40444323346975	8.39592060232717	8.73008076659822	0.334160164271047	738.387	746.8145	1.14133916225504
CH000032	1770.368	1508.484	-14.7926306846938	2.03436550308008	1.73360164271047	-0.30076386036961	463.2695	495.9115	7.04600669804509
CH000034	1878.7625	1688.4405	-10.1301787745923	6.11771526351814	6.63649965776865	0.518784394250513	517.3385	654.1325	26.4418750972525
CH000039	1396.2235	1246.8205	-10.7005074760595	7.35684188911704	7.68311156741958	0.326269678302532	716.3735	707.681	-1.21340334336765
CH000041	1281.2615	1067.165	-16.7098207508772	8.61288021902806	9.07147433264887	0.458594113620807	626.771	749.115	19.5197288961997
CH000043	1333.658	1069.2045	-19.8291840936732	8.77612183436003	9.08676112251882	0.310639288158795	707.059	759.1745	7.37074275272643
CH000046	1015.2245	1142.832	12.5693873621056	1.42175222450376	1.21859411362081	-0.203158110882957	507.047	532.727	5.06461925620309
CH000048	1289.674	1280.97	-0.674899238102028	3.25668856947296	3.17438603696099	-0.0823025325119784	546.9175	588.0815	7.52654650838563
CH000049	1522.903	1201.0125	-21.1366383807767	4.37511978097194	4.76154277891855	0.386422997946612	502.5745	636.7585	26.6993251746756
CH000051	1370.774	1157.37	-15.5681388762845	7.66384394250513	7.95524982888433	0.291405886379192	617.7215	757.8625	22.6867609432406
CH000053	1243.961	1052.2885	-15.4082402904914	7.96107597535934	8.23040930869268	0.269333333333334	572.542	788.6105	37.738454122143
CH000054	1483.1825	1320.378	-10.9767004397638	4.9625954825462	5.10815742642026	0.145561943874059	553.124	655.557	18.5189939326444
CH000057	1506.114	1480.626	-1.69230217632929	5.54991649555099	5.89244900752909	0.342532511978097	658.9255	687.264	4.30071381362536
CH000060	1400.3795	1141.466	-18.4888096405296	7.07188774811773	7.09581382614648	0.0239260780287474	597.244	739.652	23.8441909839195
CH000061	1580.7305	1366.761	-13.5361151062752	7.51885557837098	7.95141546885695	0.432559890485968	550.28	695.9975	26.4806098713382
CH000062	1182.634	1264.619	6.93240681394245	3.3388076659822	3.02762354551677	-0.311184120465435	569.0795	581.167	2.12404418011894
CH000063	1535.4215	1492.2625	-2.81088938770233	7.64668446269678	7.61697467488022	-0.0297097878165635	603.0935	698.3945	15.8020273804974
CH000064	1503.188	1466.2545	-2.45701136517853	10.5090636550308	8.39498288843258	-2.11408076659822	755.6235	744.414	-1.4834768902767
CH000065	1754.1175	1543.223	-12.0228262929935	1.49976865160849	1.12302943189596	-0.376739219712526	440.526	465.9795	5.77797905231474
CH000066	1092.7835	1175.4925	7.56865380928609	9.4291485284052	9.47078439425051	0.0416358658453113	746.19	789.3175	5.77969417976655
CH000067	1610.811	1340.733	-16.7665852790923	4.85351950718686	4.7729568788501	-0.0805626283367555	627.712	623.6635	-0.644961383564436
CH000074	1541.26	1349.287	-12.4555882849097	3.52330595482546	2.59901848049281	-0.924287474332649	461.92	531.6305	15.0914660547281
CH000077	1286.577	1248.274	-2.97712457163466	1.22061327857632	2.33518548939083	1.11457221081451	461.4645	523.335137541651	13.4074533450896
CH000080	1647.134	1272.2205	-22.7615664542168	5.6065311430527	5.55558110882957	-0.0509500342231348	505.0585	672.7895	33.2102122823396
CH000083	1031.069	1005.2355	-2.50550642100577	-1.20715537303217	-0.0121971252566735	1.1949582477755	369.8385	495.998240209388	34.1121165615228
CH000088	1739.3635	1551.533	-10.7988065749339	3.16186036960986	4.13602327173169	0.974162902121834	488.9625	580.4095	18.7022522177059
CH000089	1658.2975	1274.455	-23.1467815636217	6.9003627652293	7.51239561943874	0.612032854209446	737.892	728.9815	-1.2075615401712
CH000090	1674.943	1274.582	-23.9029626679833	6.71019028062971	7.51509103353867	0.804900752908966	491.1595	729.1315	48.451063249311
CH000093	1492.1735	1420.5525	-4.79977696963524	5.52618069815195	6.99245722108145	1.4662765229295	592.423	731.1015	23.4086961512298
CH000095	2116.29	1500.055	-29.1186463102883	5.35861054072553	5.24022724161533	-0.118383299110199	524.685	623.657695945946	18.8632600409667
CH000096	1749.108	1425.3545	-18.5096346251918	6.83348528405202	7.44332375085558	0.609838466803559	537.812	682.138	26.8357716079225
CH000097	899.6815	951.05	5.70963168632454	-0.533954825462012	0.828810403832991	1.362765229295	465.489	506.755506756757	8.86519482882661
CH000098	1497.1265	1387.5265	-7.3206906697597	8.10656673511294	7.9892553045859	-0.117311430527036	523.787	685.5855	30.8901328211658
CH000099	1350.8785	1332.9215	-1.32928312945984	6.84540041067762	6.96258316221766	0.117182751540041	651.9765	696.2735	6.7942632901646
CH000100	1413.9885	1323.236	-6.41819222716449	8.25696783025325	8.96655578370979	0.709587953456538	618.0325	719.6405	16.4405593556973
CH000102	1024.472	974.8015	-4.84839995627016	9.55411362080767	9.96401642710472	0.409902806297056	597.5415	784.9675	31.3661896286701
CH000103	902.6405	941.446	4.29910911376122	-0.5522765229295	1.33507597535934	1.88735249828884	404.9305	546.99475	35.0836131138554
CH000104	1918.0615	1489.6945	-22.3333297707086	8.47188501026694	10.3192334017796	1.84734839151266	965.041	756.6255	-21.5965435665428
CH000106	1119.673	1214.8225	8.4979721758049	2.41259685147159	2.89943326488706	0.486836413415469	647.461	546.335	-15.6188558075313
CH000107	1295.328	1225.7385	-5.37234584599422	7.98139082819986	8.02556468172485	0.0441738535249838	563.7875	750.6115	33.1373079396049
CH000108	1599.2435	1531.847	-4.21427381133643	0.186006844626968	0.993493497604381	0.807486652977413	458.715	460.43	0.373870486031639
CH000110	1675.0965	1308.6085	-21.8786201272584	8.55458726899384	10.948052019165	2.39346475017111	924.454	794.454	-14.0623546439304
CH000111	1112.273	1545.061	38.9102315708464	-1.041787816564	-0.432662559890486	0.609125256673511	514.757	439.644	-14.5919336696733
CH000113	1051.47	1146.2095	9.01019525045887	0.859749486652977	1.01153867214237	0.151789185489391	454.473	514.4965	13.2072752396732
CH000115	1783.4905	1574.3915	-11.7241443113939	2.03632169746749	1.48873100616016	-0.547590691307324	486.344	462.7	-4.86157945816129
CH000118	1081.218	1079.769	-0.13401552693352	9.25300479123888	9.10656947296372	-0.146435318275154	671.163	825.824	23.0437315525439
CH000120	1861.704	1612.125	-13.4059442317361	6.28424914442163	6.01994250513347	-0.264306639288159	711.292	695.3345	-2.24345275920437
CH000121	1838.138	1639.103	-10.8280771084652	3.38486652977413	3.2378083504449	-0.147058179329226	505.9635	543.7335	7.46496535817308
CH000122	1708.9295	1426.8025	-16.5089899846658	7.17360164271047	7.58996851471595	0.416366872005476	530.9575	680.5865	28.1809749367887
CH000124	1181.639	999.6315	-15.4029699425967	8.86599452429843	9.39572758384668	0.529733059548255	622.2815	771.0125	23.9009194391927
CH000128	1602.697	1237.219	-22.8039361151858	5.98222997946612	6.38380013689254	0.40157015742642	552.082	699.177	26.6436869885271
CH000129	1276.2465	1394.692	9.28076981993683	8.50193018480493	7.4377029431896	-1.06422724161533	816.3225	712.343	-12.7375516416612
CH000130	1295.5815	1122.3055	-13.3743805387774	7.94149623545517	7.95325119780972	0.0117549623545523	613.8595	796.882	29.8150472542984
CH000131	1466.5725	1226.6365	-16.3603231343831	8.03051882272416	8.20479260780287	0.174273785078713	574.9145	707.025	22.9791560310272
CH000132	1173.784	1053.778	-10.2238572003026	9.60422587268994	9.72503216974675	0.120806297056811	674.675	794.643	17.7815985474488
CH000135	1075.417	1231.511	14.5147417234431	0.993867214236824	1.57657084188912	0.582703627652293	470.8755	524.3265	11.3514081747723
CH000136	1780.2115	1677.6885	-5.75903481131317	0.183676933607118	0.58264476386037	0.398967830253251	429.7055	423.9065	-1.34952892155211
CH000137	1649.1895	1571.454	-4.71355778095845	3.8690841889117	4.71440793976728	0.845323750855579	712.5385	584.5115	-17.9677308664725
CH000138	1545.5825	1620.631	4.85567739023959	3.48736755646817	3.08636687200548	-0.401000684462697	490.553	539.9195	10.06343860908
CH000140	1150.729	1182.6755	2.7761966544686	9.53599315537303	9.03128131416838	-0.504711841204655	719.7605	829.3905	15.2314554633104
CH000142	1225.176	1175.241	-4.07574095476894	8.31191923340178	8.96888569472964	0.656966461327858	696.311	765.5215	9.93959595640456
CH000143	1894.875	1388.364	-26.7305758955076	5.81637371663244	6.61500889801506	0.798635181382615	594.298	696.8335	17.2532130345382
CH000144	1196.8865	1124.2965	-6.06490256177174	9.42844900752909	8.72532511978097	-0.703123887748117	660.52	811.5155	22.8600950766063
CH000147	1188.5615	1202.419	1.16590517192422	8.64889253935661	8.85551813826146	0.206625598904859	584.6425	780.982	33.5828305331891
CH000149	1291.794	1270.8485	-1.62142725542927	7.40640657084189	7.51131279945243	0.104906228610541	682.936	725.3675	6.21310049550765
CH000150	1958.621	1463.8335	-25.2620338493256	8.85842162902122	9.53488432580424	0.676462696783025	965.188	698.063	-27.6759553579199
CH000152	1773.0835	1524.8575	-13.9996790901274	11.2185804243669	11.1368227241615	-0.0817577002053387	1019.1515	781.881	-23.2811804721869
CH000154	1716.517	1550.2305	-9.68743682701655	7.13315126625599	7.34718138261465	0.214030116358659	537.994	669.849	24.508637642799
CH000155	1473.2505	1300.4885	-11.7265868906883	3.28426420260096	3.43062970568104	0.146365503080082	494.97	573.1255	15.7899468654666
CH000156	1197.7425	1165.2285	-2.71460685414435	8.43059958932238	8.83279123887748	0.4021916495551	598.123	780.7375	30.5312619645123
CH000158	1710.4135	1631.7095	-4.60146040708869	2.51910335386721	3.75786858316222	1.238765229295	608.7835	558.1775	-8.31264316460614
CH000161	1294.471	1170.334	-9.58978609795043	7.93035455167693	8.33208350444901	0.401728952772074	724.232	731.618	1.0198389466359
CH000162	1448.4945	1390.814	-3.98210003558869	6.13195208761123	7.05819986310746	0.926247775496235	607.8485	735.5975	21.0165855472211
CH000163	1697.6085	1559.763	-8.11998172723569	4.17847227926078	3.73118275154004	-0.447289527720739	527.6365	570.3805	8.10103167616342
CH000164	1139.728	1071.3235	-6.00182675164602	9.41479671457906	9.5073839835729	0.0925872689938387	729.043	765.6085	5.0155477797606
CH000165	1488.601	1268.023	-14.8178054428285	7.25207802874743	7.35024229979466	0.0981642710472279	722.606	757.7165	4.85887191636936
CH000166	1713.569	1324.0345	-22.7323498499331	6.46583436002738	6.33707460643395	-0.128759753593429	560.0705	686.512	22.5759971289329
CH000167	1494.2275	1188.984	-20.4281811169986	4.65656399726215	4.9930417522245	0.336477754962354	504.5145	646.817	28.2058295648589
CH000168	1384.3045	1290.4125	-6.78261177363796	10.5492388774812	8.97344421629021	-1.57579466119096	767.731	821.6525	7.02348869591041
CH000169	1830.466	1620.6225	-11.4639386910218	3.43932375085558	2.55621629021218	-0.883107460643395	566.257	513.089777027027	-9.38923898035219
CH000170	1548.8475	1402.1425	-9.47188151189837	7.5824052019165	7.67071868583162	0.0883134839151269	774.609	770.678	-0.507481839224698
