basin_id,gauge_id,gauge_name,gauge_country,gauge_provider,river,lon_snap,lat_snap,lon,lat,elevation,area_official,area_estreams,area_flag,area_rel,start_date,end_date,num_years,num_months,num_days,num_continuous_days,num_days_gaps,num_days_reliable,num_days_noflag,num_days_suspect,gauge_flag,duplicated_suspect,watershed_group,gauges_upstream,nested_catchments,q_mean,q_runoff_ratio,q_elas_Sankarasubramanian,slope_sawicz,baseflow_index,hfd_mean,hfd_std,q_5,q_95,hq_freq,hq_dur,lq_freq,lq_dur,zero_q_freq,p_mean,pet_mean,aridity,p_seasonality,frac_snow,hp_freq,hp_dur,hp_time,lp_freq,lp_dur,lp_time,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens,lit_dom,bedrk_dep,perm_verylow_glob,perm_low_glob,perm_medium_glob,perm_high_glob,lit_fra_su,lit_fra_ss,lit_fra_sm,lit_fra_sc,lit_fra_mt,lit_fra_pi,lit_fra_py,lit_fra_vi,lit_fra_ev,lit_fra_ig,lit_fra_pa,lit_fra_pb,lit_fra_va,lit_fra_vb,root_dep_mean,root_dep_max,root_dep_min,soil_tawc_mean,soil_fra_sand_mean,soil_fra_silt_mean,soil_fra_clay_mean,soil_fra_grav_mean,soil_bd_mean,soil_oc_mean,lai_mean,ndvi_mean,lulc_2006_urban,lulc_2006_NonIrriAgri,lulc_2006_Agric,lulc_2006_forest,lulc_2006_grass,lulc_2006_agriculture,dam_num,res_num,lakes_num,lakes_tot_area,lakes_tot_vol,sno_cov_mean,irri_1990,irri_2005,stations_num_p_mean
GB000598,77003,Liddel Water at Rowanburnfoot,GB,GB_NRFA,Liddel Water at Rowanburnfoot,-2.92,55.07,-2.92,55.07,27.1,319.3,319.503,0,-0.0635765737550812,1973-10-01,2021-09-30,49,576,17532,17532,0.0,0.0,17532.0,0.0,B,,1159,1,['GB000598'],2.925,0.893,1.092,3.156,0.425,124.792,24.41,0.298,10.739,13.688,1.309,79.375,9.293,0.0,3.151,1.618,0.514,-0.107,0.035,10.084,1.108,2.0,183.258,3.269,3.0,615.877,268.275,31.049,6.856,17.294,6.366,0.545,0.153,8,1.02,7.079999999999999,1.092,66.485,25.343,0.801,24.542,0.0,66.485,0.437,0.0,0.655,0.0,0.0,0.0,0.0,0.0,0.044,7.036,116.571,130.0,0.0,90.283,36.975,32.571,29.819,3.489,0.93,13.336,0.158,0.617,0.001,0.015,0.138,0.276,0.516,0.15300000000000002,0.0,0.0,0.0,0.0,0.0,6.641,0.572,0.0,2.0
DEBY0895,24374805,Würzburg,DE,DE_BY,Pleichach,9.94842790267187,49.79935548167835,9.94842790267187,49.79935548167835,176.10,126.2,126.805,0,-0.4793977812995277,1970-11-01,2023-08-19,54,580,16918,14306,2367.0,0.0,16918.0,0.0,D,,1,1,['DEBY0895'],0.256,0.155,1.321,1.668,0.761,169.256,24.511,0.076,0.607,0.993,1.84,6.716,7.775,0.0,1.65,2.19,1.327,0.154,0.044,18.75,1.164,4.0,244.752,4.376,3.0,371.441,277.513,183.866,2.863,64.866,0.099,0.583,0.224,9,1.609,0.0,0.0,100.0,0.0,0.0,0.0,86.939,13.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.389,130.0,30.0,54.136,38.908,38.107,22.985,6.565,1.392,1.103,0.111,0.495,0.134,0.688,0.044000000000000004,0.134,0.0,0.732,0.0,0.0,0.0,0.0,0.0,3.669,0.809,0.882,24.0
SE000009,1160,KUKKASJÄRVI,SE,SE_SMHI,SANGISÄLVEN,23.3236,66.1117,23.3236,66.1117,,494.3,488.476,0,1.17823184301032,1923-08-01,2023-04-10,86,1015,30824,16932,5589.0,30734.0,0.0,90.0,D,,1885,1,['SE000009'],0.994,0.65,1.359,2.379,0.636,222.536,34.52,0.172,3.502,6.4,11.594,29.998,25.955,0.0,1.503,1.293,0.86,0.223,0.363,18.736,1.197,4.0,249.922,4.481,3.0,279.019,130.953,60.662,2.638,68.261,0.462,0.412,0.201,4,15.914,64.293,22.085,13.623,0.0,0.0,0.0,13.623,0.0,22.085,0.0,0.0,0.0,0.0,0.0,60.32,0.0,0.0,3.973,86.844,130.0,30.0,72.424,61.037,28.635,10.328,8.973,1.362,4.135,0.46,0.416,0.0,0.006,0.001,0.623,0.174,0.007,0.0,0.0,24.0,38.62,274.45,30.332,0.0,0.164,2.0
CH000149,2458,Valangin,CH,CH_CAMELS,Seyon,6.9,47.01,6.9,47.01,665,112.3,112.34,0,-0.0356188780053484,1981-01-01,2020-12-31,40,480,14610,14610,0.0,0.0,14610.0,0.0,B,,1,1,['CH000149'],0.622,0.18,1.552,2.99,0.457,133.462,28.388,0.05,2.316,14.5,1.986,82.275,7.123,0.0,3.44,2.0,0.581,0.056,0.074,15.77,1.177,1.0,211.375,3.859,1.0,1539.147,983.493,649.168,10.281,20.109,24.494,0.531,0.1,8,0.937,0.0,0.0,57.596000000000004,42.404,42.404,0.0,1.054,56.542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.982,130.0,50.0,40.853,54.798,29.939,15.263,5.754,1.487,1.54,0.169,0.572,0.046,0.432,0.097,0.373,0.052,0.529,0.0,0.0,0.0,0.0,0.0,14.159,0.0,0.0,4.0
GB000120,27025,Rother at Woodhouse Mill,GB,GB_NRFA,Rother at Woodhouse Mill,-1.35,53.37,-1.35,53.37,28.7,354.94,355.182,0,-0.0681805375556484,1961-10-01,2021-09-30,59,689,20971,16710,944.0,0.0,20971.0,0.0,B,,968,2,"['GB000121', 'GB000120']",1.037,0.494,1.497,1.848,0.598,143.643,24.977,0.258,3.211,5.539,1.5,6.827,5.521,0.0,2.092,1.769,0.845,-0.034,0.024,14.94,1.14,1.0,220.493,3.808,3.0,390.243,134.87,30.825,3.605,46.071,0.111,0.688,0.138,11,1.142,0.0,0.0,1.327,98.673,93.275,5.398,0.0,1.327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.492,130.0,30.0,52.703,45.22,33.912,20.867,4.113,1.42,1.243,0.122,0.596,0.243,0.398,0.235,0.037000000000000005,0.020999999999999998,0.633,1.0,1.0,2.0,0.69,2.28,2.357,0.772,4.17,1.0
CZ000066,69000,Lázně Bělohrad,CZ,CZ_CHMU,Javorka,15.5834721029872,50.4318883830253,15.5834721029872,50.4318883830253,,38.35,38.35,0,0.0,1980-11-01,2021-12-31,42,493,14983,9053,53.0,0.0,14983.0,0.0,B,,3,1,['CZ000066'],0.768,0.413,0.735,1.925,0.692,163.053,25.916,0.202,2.048,3.218,2.237,5.022,5.421,0.0,1.835,2.076,1.132,0.275,0.097,17.403,1.182,4.0,241.622,4.242,3.0,605.076,433.444,299.665,7.31,14.184,4.519,0.648,0.143,10,1.043,1.65,2.137,7.634,88.579,0.0,88.579,0.0,7.634,2.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,119.744,130.0,50.0,51.222,43.821,35.308,20.872,8.051,1.416,1.379,0.148,0.553,0.057,0.208,0.34400000000000003,0.392,0.0,0.552,0.0,0.0,0.0,0.0,0.0,10.729,,,1.0
FR001613,O288000101,O2883310,FR,FR_EAUFRANCE,La Gimone à Cordes-Tolosannes [Castelferrus],1.110592,43.997667,1.110592,43.997667,75,827.0,826.941,0,0.0071342200725476,1965-10-01,2023-09-30,59,693,21092,16801,92.0,20498.0,166.0,428.0,A,,541,9,"['FR004165', 'FR004166', 'FR001607', 'FR001608', 'FR001609', 'FR001610', 'FR001611', 'FR001612', 'FR001613']",0.32,0.166,2.81,2.84,0.509,159.786,37.087,0.04,1.17,18.193,5.204,69.641,5.688,0.001,1.938,2.649,1.367,-0.05,0.005,18.505,1.21,3.0,246.942,4.686,4.0,472.013,197.252,76.368,3.967,41.933,0.057,0.341,0.205,9,11.204,0.0,0.0,80.794,19.206,19.206,0.0,80.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.125,130.0,30.0,55.856,29.408,40.604,29.988,9.8,1.348,1.207,0.092,0.498,0.006,0.701,0.238,0.046,0.003,0.939,4.0,4.0,6.0,3.21,29.51,0.344,101.349,131.302,3.0
FR000647,J012151001,J0121510,FR,FR_EAUFRANCE,Le Couesnon à Romazy,-1.503786,48.365471,-1.503786,48.365471,20,517.0,518.379,0,-0.26673114119923,1968-01-01,2023-09-30,56,669,20362,20362,0.0,19797.0,0.0,565.0,A,,796,4,"['FR000644', 'FR000645', 'FR000646', 'FR000647']",0.803,0.373,2.239,3.395,0.629,142.37,21.882,0.074,2.817,6.883,2.653,77.645,10.992,0.0,2.121,2.128,1.003,-0.162,0.007,16.164,1.149,1.0,225.526,4.395,4.0,248.195,110.08,21.362,2.286,76.358,0.081,0.595,0.189,10,1.339,47.106,0.0,0.821,52.073,0.126,51.947,0.821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.106,0.0,0.0,0.0,110.888,130.0,30.0,52.236,39.896,37.707,22.398,6.712,1.396,1.156,0.124,0.676,0.046,0.246,0.647,0.053000000000000005,0.004,0.893,0.0,0.0,0.0,0.0,0.0,0.976,2.55,3.583,3.0
FR002232,U214201001,U2142010,FR,FR_EAUFRANCE,Le Doubs à Glère [Courclavon],7.026284,47.343834,7.026284,47.343834,410,1315.0,1233.802,0,6.174752851711034,1959-01-01,2023-09-30,65,775,23498,16319,151.0,23095.0,0.0,403.0,A,,27,47,"['CH000070', 'CH000078', 'CH000087', 'CH000119', 'CH000260', 'CH000261', 'CH000262', 'CH000264', 'CH000265', 'CH000266', 'CH000267', 'CH000268', 'CH000269', 'CH000276', 'CH000279', 'CH000285', 'CH000287', 'FR004538', 'FR004539', 'FR004540', 'FR004541', 'FR004542', 'FR004543', 'FR004544', 'FR004545', 'FR004546', 'FR004547', 'FR004548', 'FR002210', 'FR002211', 'FR002212', 'FR002213', 'FR002214', 'FR002215', 'FR002216', 'FR002217', 'FR002218', 'FR002219', 'FR002220', 'FR002221', 'FR002222', 'FR002223', 'FR002226', 'FR002227', 'FR002228', 'FR002229', 'FR002230', 'FR002231', 'FR002232']",2.285,0.614,1.448,3.085,0.546,151.377,27.309,0.364,6.756,2.856,2.542,41.416,6.736,0.0,3.721,2.053,0.552,0.015,0.079,14.79,1.156,1.0,207.402,3.842,1.0,1452.436,949.018,409.272,8.724,23.507,17.258,0.386,0.211,8,1.104,0.0,0.0,90.912,9.041,3.862,5.179,18.102,72.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.322,130.0,0.0,47.829,46.4,34.644,18.712,9.763,1.432,1.452,0.195,0.62,0.046,0.112,0.339,0.43100000000000005,0.037,0.451,1.0,1.0,11.0,8.0,89.69,13.845,0.058,0.058,9.0
DK000991,46000030, ÅRUP,DK,DK_ODA,BRENDE Å,10.05078133,55.38349384,10.05078133031266,55.38349384334042,,71.05581,69.513,0,2.1712650942969884,1919-01-01,2022-12-31,103,1236,37621,35429,365.0,37621.0,0.0,0.0,A,,477,1,['DK000991'],0.776,0.439,1.435,3.719,0.612,129.75,22.944,0.047,2.616,1.397,5.1,89.932,17.553,0.0,1.767,1.626,0.921,0.155,0.041,16.63,1.153,4.0,231.801,4.314,3.0,125.074,67.174,40.825,2.104,77.266,0.02,0.779,0.193,11,24.148,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,130.0,130.0,46.54,67.696,18.942,13.362,3.928,1.548,0.729,0.135,0.566,0.059,0.394,0.47500000000000003,0.073,0.0,0.869,0.0,0.0,0.0,0.0,0.0,5.757,0.465,0.585,0.0
