,basin_id,P,T,evap,Q
0,AT000002,0,0,0,0
1,AT000003,0,0,0,0
2,AT000005,0,0,0,0
3,AT000007,0,0,0,0
4,AT000010,0,0,0,2
5,AT000014,0,0,0,0
6,AT000015,0,0,0,0
7,AT000016,0,0,0,0
8,AT000018,0,0,0,0
9,AT000019,0,0,0,0
10,AT000021,0,0,0,0
11,AT000022,0,0,0,0
12,AT000023,0,0,0,356
13,AT000027,0,0,0,0
14,AT000028,0,0,0,0
15,AT000029,0,0,0,0
16,AT000030,0,0,0,0
17,AT000038,0,0,0,0
18,AT000039,0,0,0,0
19,AT000040,0,0,21,0
20,AT000041,0,0,0,0
21,AT000042,0,0,0,0
22,AT000043,0,0,3,0
23,AT000044,0,0,2,0
24,AT000048,0,0,1,0
25,AT000049,0,0,20,0
26,AT000050,0,0,1,0
27,AT000051,0,0,1,0
28,AT000052,0,0,2,0
29,AT000054,0,0,7,0
30,AT000060,0,0,0,0
31,AT000062,0,0,0,356
32,AT000065,0,0,45,356
33,AT000067,0,0,0,356
34,AT000068,0,0,0,0
35,AT000069,0,0,0,0
36,AT000071,0,0,0,0
37,AT000072,0,0,0,0
38,AT000074,0,0,0,0
39,AT000075,0,0,9,0
40,AT000076,0,0,9,0
41,AT000078,0,0,89,0
42,AT000080,0,0,4,0
43,AT000081,0,0,23,0
44,AT000086,0,0,1,0
45,AT000087,0,0,1,0
46,AT000089,0,0,2,0
47,AT000090,0,0,0,0
48,AT000093,0,0,2,0
49,AT000094,0,0,2,365
50,AT000095,0,0,0,0
51,AT000097,0,0,0,0
52,AT000098,0,0,0,0
53,AT000101,0,0,0,0
54,AT000103,0,0,2,0
55,AT000105,0,0,0,0
56,AT000106,0,0,0,0
57,AT000107,0,0,0,0
58,AT000111,0,0,1,0
59,AT000115,0,0,16,0
60,AT000116,0,0,6,0
61,AT000117,0,0,1,0
62,AT000118,0,0,0,0
63,AT000122,0,0,0,0
64,AT000123,0,0,0,0
65,AT000124,0,0,2,0
66,AT000125,0,0,2,0
67,AT000129,0,0,62,0
68,AT000130,0,0,1,0
69,AT000132,0,0,0,5
70,AT000133,0,0,5,0
71,AT000135,0,0,0,0
72,AT000137,0,0,4,0
73,AT000138,0,0,0,0
74,AT000140,0,0,0,0
75,AT000141,0,0,2,0
76,AT000142,0,0,1,0
77,AT000143,0,0,0,0
78,AT000144,0,0,0,0
79,AT000146,0,0,0,0
80,AT000147,0,0,0,0
81,AT000149,0,0,0,0
82,AT000150,0,0,0,0
83,AT000151,0,0,1,0
84,AT000152,0,0,1,0
85,AT000153,0,0,1,0
86,AT000154,0,0,1,0
87,AT000155,0,0,0,0
88,AT000156,0,0,0,0
89,AT000157,0,0,0,0
90,AT000158,0,0,0,301
91,AT000159,0,0,0,0
92,AT000160,0,0,0,0
93,AT000161,0,0,0,0
94,AT000162,0,0,1,0
95,AT000163,0,0,1,0
96,AT000164,0,0,0,0
97,AT000165,0,0,0,0
98,AT000166,0,0,0,0
99,AT000167,0,0,1,172
100,AT000168,0,0,1,0
101,AT000169,0,0,1,0
102,AT000170,0,0,0,0
103,AT000171,0,0,0,0
104,AT000173,0,0,1,0
105,AT000174,0,0,0,0
106,AT000175,0,0,0,0
107,AT000176,0,0,0,0
108,AT000177,0,0,1,0
109,AT000178,0,0,0,0
110,AT000179,0,0,0,365
111,AT000180,0,0,0,0
112,AT000181,0,0,0,0
113,AT000182,0,0,0,0
114,AT000183,0,0,0,0
115,AT000184,0,0,0,0
116,AT000185,0,0,0,0
117,AT000187,0,0,0,0
118,AT000188,0,0,0,0
119,AT000189,0,0,0,0
120,AT000190,0,0,0,0
121,AT000191,0,0,1,0
122,AT000192,0,0,0,0
123,AT000193,0,0,1,0
124,AT000194,0,0,0,0
125,AT000195,0,0,0,0
126,AT000196,0,0,0,0
127,AT000197,0,0,0,0
128,AT000198,0,0,0,0
129,AT000207,0,0,0,0
130,AT000208,0,0,0,0
131,AT000211,0,0,0,0
132,AT000212,0,0,1,0
133,AT000213,0,0,0,0
134,AT000214,0,0,0,0
135,AT000215,0,0,0,0
136,AT000217,0,0,0,0
137,AT000218,0,0,1,0
138,AT000219,0,0,1,0
139,AT000220,0,0,1,0
140,AT000221,0,0,1,0
141,AT000222,0,0,1,0
142,AT000223,0,0,1,0
143,AT000224,0,0,0,0
144,AT000225,0,0,0,0
145,AT000226,0,0,0,0
146,AT000228,0,0,0,0
147,AT000230,0,0,0,0
148,AT000231,0,0,0,0
149,AT000232,0,0,0,0
150,AT000234,0,0,0,0
151,AT000235,0,0,0,0
152,AT000236,0,0,0,0
153,AT000237,0,0,0,172
154,AT000238,0,0,0,0
155,AT000239,0,0,0,0
156,AT000240,0,0,0,0
157,AT000242,0,0,0,0
158,AT000243,0,0,17,0
159,AT000245,0,0,35,0
160,AT000247,0,0,4,0
161,AT000249,0,0,21,0
162,AT000250,0,0,8,0
163,AT000252,0,0,5,0
164,AT000254,0,0,0,3
165,AT000255,0,0,1,0
166,AT000256,0,0,5,195
167,AT000257,0,0,0,0
168,AT000258,0,0,0,0
169,AT000259,0,0,0,0
170,AT000260,0,0,0,0
171,AT000261,0,0,0,0
172,AT000268,0,0,14,0
173,AT000269,0,0,11,0
174,AT000273,0,0,0,0
175,AT000275,0,0,0,0
176,AT000276,0,0,0,0
177,AT000277,0,0,0,0
178,AT000278,0,0,0,0
179,AT000280,0,0,0,0
180,AT000281,0,0,0,0
181,AT000282,0,0,0,0
182,AT000283,0,0,0,0
183,AT000284,0,0,0,0
184,AT000285,0,0,0,0
185,AT000286,0,0,0,0
186,AT000287,0,0,0,0
187,AT000288,0,0,0,0
188,AT000289,0,0,0,0
189,AT000290,0,0,0,0
190,AT000291,0,0,0,0
191,AT000292,0,0,5,0
192,AT000295,0,0,0,0
193,AT000297,0,0,0,0
194,AT000298,0,0,0,0
195,AT000299,0,0,1,0
196,AT000300,0,0,1,0
197,AT000301,0,0,4,0
198,AT000302,0,0,1,0
199,AT000303,0,0,5,0
200,AT000304,0,0,1,0
201,AT000306,0,0,0,0
202,AT000308,0,0,0,0
203,AT000309,0,0,0,0
204,AT000310,0,0,1,0
205,AT000311,0,0,0,0
206,AT000313,0,0,0,0
207,AT000314,0,0,0,0
208,AT000315,0,0,0,0
209,AT000316,0,0,4,0
210,AT000318,0,0,0,0
211,AT000319,0,0,0,0
212,AT000320,0,0,0,0
213,AT000323,0,0,1,0
214,AT000324,0,0,1,0
215,AT000326,0,0,0,0
216,AT000328,0,0,0,0
217,AT000329,0,0,0,0
218,AT000330,0,0,0,0
219,AT000332,0,0,0,0
220,AT000333,0,0,0,0
221,AT000334,0,0,0,0
222,AT000335,0,0,0,0
223,AT000336,0,0,0,0
224,AT000337,0,0,0,0
225,AT000338,0,0,0,0
226,AT000340,0,0,0,0
227,AT000341,0,0,0,0
228,AT000342,0,0,0,0
229,AT000343,0,0,0,0
230,AT000344,0,0,0,0
231,AT000345,0,0,0,0
232,AT000346,0,0,0,0
233,AT000347,0,0,0,0
234,AT000349,0,0,0,0
235,AT000351,0,0,0,356
236,AT000352,0,0,0,0
237,AT000353,0,0,0,365
238,AT000354,0,0,0,0
239,AT000356,0,0,0,0
240,AT000357,0,0,0,0
241,AT000358,0,0,0,0
242,AT000360,0,0,0,80
243,AT000361,0,0,0,0
244,AT000363,0,0,2,0
245,AT000365,0,0,0,0
246,AT000367,0,0,0,0
247,AT000368,0,0,0,0
248,AT000372,0,0,0,404
249,AT000373,0,0,0,991
250,AT000374,0,0,2,0
251,AT000375,0,0,0,0
252,AT000378,0,0,0,0
253,AT000380,0,0,0,0
254,AT000382,0,0,0,0
255,AT000383,0,0,0,0
256,AT000386,0,0,0,0
257,AT000391,0,0,0,0
258,AT000392,0,0,0,0
259,AT000394,0,0,0,0
260,AT000397,0,0,1,0
261,AT000398,0,0,3,0
262,AT000399,0,0,1,0
263,AT000400,0,0,1,0
264,AT000401,0,0,0,0
265,AT000402,0,0,0,853
266,AT000403,0,0,0,0
267,AT000404,0,0,0,0
268,AT000406,0,0,0,0
269,AT000407,0,0,0,0
270,AT000408,0,0,0,550
271,AT000409,0,0,0,0
272,AT000410,0,0,0,0
273,AT000411,0,0,0,0
274,AT000417,0,0,0,0
275,AT000418,0,0,0,0
276,AT000423,0,0,0,0
277,AT000424,0,0,0,0
278,AT000425,0,0,0,8
279,AT000426,0,0,0,0
280,AT000427,0,0,0,0
281,AT000428,0,0,0,0
282,AT000429,0,0,0,0
283,AT000431,0,0,0,0
284,AT000432,0,0,0,0
285,AT000433,0,0,0,0
286,AT000434,0,0,0,0
287,AT000435,0,0,0,0
288,AT000437,0,0,0,0
289,AT000438,0,0,0,0
290,AT000439,0,0,0,356
291,AT000440,0,0,0,0
292,AT000441,0,0,0,0
293,AT000442,0,0,0,0
294,AT000443,0,0,0,0
295,AT000444,0,0,0,0
296,AT000445,0,0,0,0
297,AT000446,0,0,0,0
298,AT000447,0,0,0,0
299,AT000448,0,0,2,412
300,AT000449,0,0,0,0
301,AT000450,0,0,0,0
302,AT000451,0,0,0,33
303,AT000452,0,0,0,0
304,AT000453,0,0,0,12
305,AT000455,0,0,0,0
306,AT000456,0,0,0,0
307,AT000457,0,0,0,0
308,AT000458,0,0,0,0
309,AT000460,0,0,0,356
310,AT000461,0,0,0,356
311,AT000462,0,0,0,0
312,AT000463,0,0,0,0
313,AT000464,0,0,0,0
314,AT000465,0,0,0,0
315,AT000466,0,0,190,0
316,AT000467,0,0,75,0
317,AT000468,0,0,75,0
318,AT000469,0,0,51,0
319,AT000470,0,0,15,0
320,AT000471,0,0,17,0
321,AT000474,0,0,6,0
322,AT000475,0,0,1,0
323,AT000477,0,0,0,0
324,AT000481,0,0,2,0
325,AT000483,0,0,0,0
326,AT000485,0,0,1,0
327,AT000486,0,0,0,0
328,AT000488,0,0,1,0
329,AT000489,0,0,0,0
330,AT000491,0,0,0,0
331,AT000492,0,0,0,0
332,AT000493,0,0,0,55
333,AT000495,0,0,0,0
334,AT000500,0,0,0,0
335,AT000502,0,0,0,0
336,AT000504,0,0,0,0
337,AT000505,0,0,1,0
338,AT000507,0,0,0,0
339,AT000508,0,0,0,0
340,AT000509,0,0,0,0
341,AT000510,0,0,0,0
342,AT000511,0,0,0,0
343,AT000513,0,0,0,0
344,AT000514,0,0,0,0
345,AT000515,0,0,0,0
346,AT000518,0,0,0,0
347,AT000521,0,0,18,0
348,AT000523,0,0,5,0
349,AT000525,0,0,0,0
350,AT000528,0,0,0,0
351,AT000529,0,0,7,0
352,AT000530,0,0,0,0
353,AT000531,0,0,0,0
354,AT000532,0,0,0,0
