basin_id,gauge_id,gauge_name,gauge_country,gauge_provider,river,lon_snap,lat_snap,lon,lat,elevation,area_official,area_estreams,area_flag,area_rel,start_date,end_date,num_years,num_months,num_days,num_continuous_days,num_days_gaps,num_days_reliable,num_days_noflag,num_days_suspect,gauge_flag,duplicated_suspect,watershed_group,gauges_upstream,nested_catchments
GB000598,77003,Liddel Water at Rowanburnfoot,GB,GB_NRFA,Liddel Water at Rowanburnfoot,-2.92,55.07,-2.92,55.07,27.1,319.3,319.503,0,-0.0635765737550812,1973-10-01,2021-09-30,49,576,17532,17532,0.0,0.0,17532.0,0.0,B,,1159,1,['GB000598']
DEBY0895,24374805,Würzburg,DE,DE_BY,Pleichach,9.94842790267187,49.79935548167835,9.94842790267187,49.79935548167835,176.10,126.2,126.805,0,-0.4793977812995277,1970-11-01,2023-08-19,54,580,16918,14306,2367.0,0.0,16918.0,0.0,D,,1,1,['DEBY0895']
SE000009,1160,KUKKASJÄRVI,SE,SE_SMHI,SANGISÄLVEN,23.3236,66.1117,23.3236,66.1117,,494.3,488.476,0,1.17823184301032,1923-08-01,2023-04-10,86,1015,30824,16932,5589.0,30734.0,0.0,90.0,D,,1885,1,['SE000009']
CH000149,2458,Valangin,CH,CH_CAMELS,Seyon,6.9,47.01,6.9,47.01,665,112.3,112.34,0,-0.0356188780053484,1981-01-01,2020-12-31,40,480,14610,14610,0.0,0.0,14610.0,0.0,B,,1,1,['CH000149']
GB000120,27025,Rother at Woodhouse Mill,GB,GB_NRFA,Rother at Woodhouse Mill,-1.35,53.37,-1.35,53.37,28.7,354.94,355.182,0,-0.0681805375556484,1961-10-01,2021-09-30,59,689,20971,16710,944.0,0.0,20971.0,0.0,B,,968,2,"['GB000121', 'GB000120']"
CZ000066,69000,Lázně Bělohrad,CZ,CZ_CHMU,Javorka,15.5834721029872,50.4318883830253,15.5834721029872,50.4318883830253,,38.35,38.35,0,0.0,1980-11-01,2021-12-31,42,493,14983,9053,53.0,0.0,14983.0,0.0,B,,3,1,['CZ000066']
FR001613,O288000101,O2883310,FR,FR_EAUFRANCE,La Gimone à Cordes-Tolosannes [Castelferrus],1.110592,43.997667,1.110592,43.997667,75,827.0,826.941,0,0.0071342200725476,1965-10-01,2023-09-30,59,693,21092,16801,92.0,20498.0,166.0,428.0,A,,541,9,"['FR004165', 'FR004166', 'FR001607', 'FR001608', 'FR001609', 'FR001610', 'FR001611', 'FR001612', 'FR001613']"
FR000647,J012151001,J0121510,FR,FR_EAUFRANCE,Le Couesnon à Romazy,-1.503786,48.365471,-1.503786,48.365471,20,517.0,518.379,0,-0.26673114119923,1968-01-01,2023-09-30,56,669,20362,20362,0.0,19797.0,0.0,565.0,A,,796,4,"['FR000644', 'FR000645', 'FR000646', 'FR000647']"
FR002232,U214201001,U2142010,FR,FR_EAUFRANCE,Le Doubs à Glère [Courclavon],7.026284,47.343834,7.026284,47.343834,410,1315.0,1233.802,0,6.174752851711034,1959-01-01,2023-09-30,65,775,23498,16319,151.0,23095.0,0.0,403.0,A,,27,47,"['CH000070', 'CH000078', 'CH000087', 'CH000119', 'CH000260', 'CH000261', 'CH000262', 'CH000264', 'CH000265', 'CH000266', 'CH000267', 'CH000268', 'CH000269', 'CH000276', 'CH000279', 'CH000285', 'CH000287', 'FR004538', 'FR004539', 'FR004540', 'FR004541', 'FR004542', 'FR004543', 'FR004544', 'FR004545', 'FR004546', 'FR004547', 'FR004548', 'FR002210', 'FR002211', 'FR002212', 'FR002213', 'FR002214', 'FR002215', 'FR002216', 'FR002217', 'FR002218', 'FR002219', 'FR002220', 'FR002221', 'FR002222', 'FR002223', 'FR002226', 'FR002227', 'FR002228', 'FR002229', 'FR002230', 'FR002231', 'FR002232']"
DK000991,46000030, ÅRUP,DK,DK_ODA,BRENDE Å,10.05078133,55.38349384,10.05078133031266,55.38349384334042,,71.05581,69.513,0,2.1712650942969884,1919-01-01,2022-12-31,103,1236,37621,35429,365.0,37621.0,0.0,0.0,A,,477,1,['DK000991']
ES000726,5086,DILAR                              ,ES,ES_CEDEX,,-3.55162581,37.06483451,-3.551625810413548,37.06483451468252,957,41.0,46.029,2,-12.265853658536594,1970-10-01,2019-09-30,50,520,15756,3653,2141.0,0.0,15756.0,0.0,D,,572,1,['ES000726']
DENW1280,2782370000100,Weine,DE,DE_NW,Alme,8.525703328709756,51.54201457659221,8.525703328709753,51.54201457659221,"222,12",143.32,143.029,0,0.2030421434552029,1950-01-11,2021-12-31,72,864,25994,25954,294.0,0.0,25994.0,0.0,B,,1,3,"['DENW1188', 'DENW1197', 'DENW1280']"
DENI1914,4941115,Lauenbrück F,DE,DE_NI,Weser,9.563536977770587,53.19544701186791,9.563536977770587,53.19544701186791,28.3,96.0,106.018,2,-10.435416666666669,1989-11-01,2017-12-31,29,338,10288,10288,0.0,0.0,10288.0,0.0,B,,204,1,['DENI1914']
FR003961,L465301001,La Bouzanne Ã  Velles [Forges],FR,FR_EAUFRANCE,La Bouzanne à Velles [Forges],1.626822,46.665907,1.626822,46.665907,121,435.67,437.728,0,-0.47237588082723,1969-05-04,2023-09-30,55,653,19872,10105,1.0,19323.0,186.0,363.0,A,,732,2,"['FR001236', 'FR001237', 'FR003961']"
CZ000279,233500,Brenná,CZ,CZ_CHMU,Ploučnice,14.6279146417376,50.6519381051373,14.6279146417376,50.6519381051373,,396.71,396.71,0,0.0,1980-11-01,2021-12-31,28,326,9923,9192,5113.0,0.0,9923.0,0.0,E,,3,5,"['CZ000275', 'CZ000276', 'CZ000277', 'CZ000278', 'CZ000279']"
DEBY0452,11411104,Oberallgäu,DE,DE_BY,Stillach,10.26687692056857,47.32601346220245,10.26687692056857,47.32601346220245,976.22,34.0,34.027,0,-0.0794117647058853,1957-11-01,2023-08-19,67,748,22031,21611,2002.0,0.0,22031.0,0.0,C,,2,1,['DEBY0452']
DEBY0691,56001003,Hof,DE,DE_BY,Sächsische Saale,11.93233236366365,50.26432863747245,11.93269365392271,50.26281121838441,480.18,232.1,334.308,2,-44.0361912968548,1959-11-01,2023-08-19,65,712,20936,19420,2367.0,0.0,20936.0,0.0,D,,63,4,"['DEBY0512', 'DEBY0513', 'DEBY0876', 'DEBY0691']"
CZ000356,303000,Věřňovice,CZ,CZ_CHMU,Olše,18.4189954114171,49.9310030786427,18.4189954114171,49.9310030786427,,1075.59,1075.59,0,0.0,1980-11-01,2021-12-31,42,494,15036,15036,0.0,0.0,15036.0,0.0,B,,43,20,"['CZ000345', 'CZ000346', 'CZ000347', 'CZ000348', 'CZ000349', 'CZ000350', 'CZ000351', 'CZ000352', 'CZ000353', 'CZ000354', 'CZ000355', 'CZ000356', 'PL000033', 'PL000034', 'PL000035', 'PL000036', 'PL000037', 'PL000038', 'PL000039', 'PL000040']"
CH000061,2181,Halden,CH,CH_CAMELS,Thur,9.21,47.51,9.21,47.51,462,1085.0,1085.205,0,-0.0188940092165831,1981-01-01,2020-12-31,40,480,14610,14610,0.0,0.0,14610.0,0.0,B,,1,7,"['CH000034', 'CH000096', 'CH000098', 'CH000122', 'CH000131', 'CH000154', 'CH000061']"
