basin_id,gauge_id,gauge_name,gauge_country,gauge_provider,river,lon_snap,lat_snap,lon,lat,elevation,area_official,area_estreams,area_flag,area_rel,start_date,end_date,num_years,num_months,num_days,num_continuous_days,num_days_gaps,num_days_reliable,num_days_noflag,num_days_suspect,gauge_flag,duplicated_suspect,watershed_group,gauges_upstream,nested_catchments
FR004196,O419433002,Le Gijou Ã  Vabre,FR,FR_EAUFRANCE,Le Gijou à Vabre,2.426336,43.694003,2.426336,43.694003,,205.0,204.156,0,0.4117073170731679,1985-12-08,2023-09-30,38,424,12645,4063,1166.0,0.0,626.0,12019.0,C,['FR004195'],541,1,['FR004196']
DEBW0240,Hopfau Glatt,Hopfau Glatt,DE,DE_BW,,8.578455642391908,48.37126527423418,8.578455642391907,48.37126527423418,430.15,206.0,215.892,0,-4.801941747572814,1980-11-01,2023-10-10,44,516,15684,15684,0.0,0.0,15684.0,0.0,B,,1,1,['DEBW0240']
CZ000507,456510,Jedovnice-pila,CZ,CZ_CHMU,Jedovnický potok,16.7398780230657,49.3333216396189,16.7398780230657,49.3333216396189,,28.29,28.29,0,0.0,1980-11-01,2011-12-31,32,374,11383,11383,0.0,0.0,11383.0,0.0,B,,2,2,"['CZ000506', 'CZ000507']"
CH000167,2488,Latterbach,CH,CH_CAMELS,Simme,7.58,46.66,7.58,46.66,667,563.2,563.311,0,-0.01970880681818,1984-06-01,2020-12-31,37,439,13363,13363,0.0,0.0,13363.0,0.0,B,,1,3,"['CH000049', 'CH000073', 'CH000167']"
FR002102,R233505001,R2335050,FR,FR_EAUFRANCE,La Touvre [résurgence] à Gond-Pontouvre [Foulpougne],0.16841,45.673266,0.16841,45.673266,31,125.91,126.62,0,-0.5638948455245874,1980-01-01,2023-09-30,44,518,15578,7413,401.0,12731.0,0.0,2847.0,C,,742,5,"['FR002099', 'FR002100', 'FR002101', 'FR002102', 'FR002103']"
ES001031,8128,TIBI (EMBALSE)                     ,ES,ES_CEDEX,,-0.55693049,38.50004595,-0.556930497669729,38.50004595736088,380,267.0,262.323,0,1.7516853932584349,1966-01-01,1995-09-30,30,357,10865,10865,0.0,0.0,10865.0,0.0,B,,592,1,['ES001031']
ES000876,4236,VILLALBA                           ,ES,ES_CEDEX,,-6.49534767,38.59722033,-6.49534767263118,38.59722033095676,292,365.0,426.63,2,-16.884931506849313,2009-10-01,2019-08-11,10,95,2811,854,791.0,0.0,2811.0,0.0,E,,578,3,"['ES000834', 'ES000841', 'ES000876']"
GB000613,80006,Blackwater at Loch Dee,GB,GB_NRFA,Blackwater at Loch Dee,-4.39,55.09,-4.39,55.09,229,15.72,15.724,0,-0.0254452926208623,1983-01-01,2021-09-30,39,462,14026,7631,127.0,0.0,14026.0,0.0,B,,1165,4,"['GB000610', 'GB000611', 'GB000612', 'GB000613']"
FR002721,X102691601,X1025810,FR,FR_EAUFRANCE,La Sigouste à Montmaur,5.887798,44.576717,5.887798,44.576717,115,15.2,16.087,0,-5.835526315789477,1980-01-18,1985-01-21,6,61,1831,1831,0.0,1619.0,0.0,212.0,C,,27,1,['FR002721']
GB000594,76008,Irthing at Greenholme,GB,GB_NRFA,Irthing at Greenholme,-2.8,54.91,-2.8,54.91,18.4,333.42,333.649,0,-0.0686821426429083,1967-11-01,2021-09-30,55,645,19621,16894,72.0,0.0,19621.0,0.0,B,,1157,2,"['GB000595', 'GB000594']"
DESN1537,582035,Bautzen 1,DE,DE_SN,Spree,14.4086745525548,51.16787783316568,14.4086745525548,51.16787783316568,185.97800000000001,278.0,277.064,0,0.3366906474820067,1925-11-01,2023-10-10,99,1152,35042,29929,731.0,0.0,35042.0,0.0,B,,48,5,"['DESN1537', 'DESN1554', 'DESN1575', 'DESN1618', 'DESN1656']"
FR004393,Q028003001,L'Adour Ã  Estirac,FR,FR_EAUFRANCE,L'Adour à Estirac,0.028681,43.498162,0.028681,43.498162,164,906.0,869.918,0,3.982560706401765,1968-10-01,2023-09-30,56,644,19535,9405,553.0,18745.0,679.0,111.0,B,,741,23,"['FR004383', 'FR004384', 'FR004385', 'FR004386', 'FR004387', 'FR004388', 'FR004389', 'FR004390', 'FR004391', 'FR004392', 'FR001980', 'FR001981', 'FR001982', 'FR001983', 'FR001984', 'FR001985', 'FR001986', 'FR001987', 'FR001988', 'FR001989', 'FR001990', 'FR001991', 'FR004393']"
FR000650,J032301001,J0323010,FR,FR_EAUFRANCE,Le Guyoult à Epiniac,-1.688679,48.525999,-1.688679,48.525999,18,62.7,63.104,0,-0.6443381180223228,1967-11-18,2023-09-30,57,671,20274,6807,132.0,19726.0,272.0,276.0,A,,798,1,['FR000650']
DENI1942,4825109,Ohrum,DE,DE_NI,Weser,10.56587373313214,52.12130815506034,10.56587373313214,52.12130815506034,75.54,813.0,768.325,0,5.495079950799502,1958-01-01,2017-12-31,60,720,21915,21915,0.0,0.0,21915.0,0.0,B,,146,5,"['DEST1702', 'DEST1703', 'DENI1849', 'DENI1898', 'DENI1942']"
FR002046,Q504101001,Q5041010,FR,FR_EAUFRANCE,Le Gave de Pau à Assat [Pont d'Assat],-0.307872,43.244424,-0.307872,43.244424,206,1520.0,1518.391,0,0.1058552631578897,1960-01-01,1965-12-31,6,72,2192,2192,0.0,2159.0,0.0,33.0,A,,741,18,"['FR004428', 'FR004429', 'FR004430', 'FR004431', 'FR002031', 'FR002032', 'FR002033', 'FR002034', 'FR002035', 'FR002036', 'FR002037', 'FR002038', 'FR002039', 'FR002040', 'FR002041', 'FR002042', 'FR002043', 'FR002044', 'FR002045', 'FR002046']"
GB000433,53006,Frome (Bristol) at Frenchay,GB,GB_NRFA,Frome (Bristol) at Frenchay,-2.52,51.49,-2.52,51.49,20,151.63,151.751,0,-0.0797995119699329,1961-09-01,2021-09-30,61,721,21945,21945,0.0,0.0,21945.0,0.0,B,,1093,1,['GB000433']
DEBY0449,24623003,Würzburg,DE,DE_BY,Gollach,10.01976458266785,49.5133440602427,10.01976458266785,49.5133440602427,247.07,162.4,166.966,0,-2.8115763546798043,1964-11-01,2023-08-19,60,664,19450,14744,2026.0,0.0,19450.0,0.0,C,,1,1,['DEBY0449']
DK000287,47000061, st. 510 (Ollerup Sø,DK,DK_ODA,SYLTEMAE Å,10.4724467,55.07198091,10.47244670904092,55.07198091940428,,27.39387,27.299,0,0.3463183551648607,1980-01-01,2016-12-31,12,144,4383,2922,9132.0,4383.0,0.0,0.0,E,,275,3,"['DK000286', 'DK000287', 'DK000291']"
FR000709,J341301001,J3413010,FR,FR_EAUFRANCE,L'Elorn à la Roche-Maurice,-4.215667,48.469419,-4.215667,48.469419,24,260.5,260.456,0,0.0168905950095902,1965-01-01,1966-12-31,2,24,730,730,0.0,730.0,0.0,0.0,A,,725,5,"['FR003758', 'FR000706', 'FR000707', 'FR000708', 'FR000709']"
DK000794,56000007, ØRSLEV,DK,DK_ODA,TUDEÅ,11.38438697,55.4744864,11.38438697982811,55.47448640058506,,148.1398,136.887,0,7.59606803843397,1933-01-01,2021-12-31,87,1044,31776,29585,731.0,31776.0,0.0,0.0,A,,437,5,"['DK000791', 'DK000794', 'DK000829', 'DK000831', 'DK000832']"
CZ000175,166200,Radonice,CZ,CZ_CHMU,Blanice,14.9329333632307,49.7889262929473,14.9329333632307,49.7889262929473,,541.86,541.86,0,0.0,1980-11-01,2021-12-31,37,434,13210,7731,1826.0,0.0,13210.0,0.0,D,,3,3,"['CZ000173', 'CZ000174', 'CZ000175']"
CH000059,2176,Zürich-Sihlhölzli,CH,CH_CAMELS,Sihl,8.53,47.37,8.53,47.37,418,342.6,342.65,0,-0.014594279042602,1981-01-01,2020-12-31,40,480,14610,14610,0.0,0.0,14610.0,0.0,B,,1,5,"['CH000095', 'CH000177', 'CH000182', 'CH000194', 'CH000059']"
DESH1467,114644,Sandschleuse,DE,DE_SH,Sorge,9.3872104547513,54.32221003344992,9.3872104547513,54.32221003344992,-5.02 m NHN,265.0,221.291,2,16.493962264150944,2019-10-31,2023-09-16,5,48,1404,398,13.0,0.0,1404.0,0.0,B,,85,3,"['DESH1293', 'DESH1467', 'DESH1491']"
DEBY0577,53202508,Wunsiedel i. Fichtelgebirge,DE,DE_BY,Eger,12.21337290753788,50.10161807795719,12.21337290753788,50.10161807795719,445.10,299.9,298.852,0,0.3494498166055358,1966-11-01,2023-08-19,58,616,18014,14306,2732.0,0.0,18014.0,0.0,D,,3,3,"['DEBY0577', 'DEBY0648', 'DEBY0898']"
AT000216,205336,Weissenbach am Attersee,AT,AT_EHYD,Aeusserer Weissenbach,13.53858641,47.79386775,13.53858641921559,47.79386775654941,473,31.2,33.914,0,-8.698717948717956,1976-01-01,2021-12-31,46,552,16802,16802,0.0,0.0,16802.0,0.0,B,,2,1,['AT000216']
FR001833,O787401001,O7874010,FR,FR_EAUFRANCE,Le Dourdou [de Conques] à Conques,2.401217,44.587132,2.401217,44.587132,223,521.0,545.937,0,-4.786372360844532,1974-11-08,2023-09-30,50,587,17859,17859,0.0,17239.0,380.0,240.0,A,,541,5,"['FR004288', 'FR004289', 'FR001832', 'FR001834', 'FR001833']"
ES000266,2503,SALIDA EMBALSE DE IRUEÑA           ,ES,ES_CEDEX,,-6.57437495,40.44483495,-6.574374957941814,40.44483495975116,710,468.0,466.801,0,0.2561965811965838,2013-10-01,2019-09-30,7,72,2191,2191,0.0,0.0,2191.0,0.0,B,,539,3,"['ES000189', 'ES000265', 'ES000266']"
DEBB0007,5858700,Berkenbrück 2,DE,DE_BB,Neuendorfer Hauptgraben,14.14157707395381,52.35299229858884,14.14157707395381,52.35299229858884,,104.8823089,103.827,0,1.0061838941838932,1977-11-01,2022-07-27,44,477,14513,7574,1827.0,0.0,14513.0,0.0,D,,48,1,['DEBB0007']
FR000887,K026001001,K0260010,FR,FR_EAUFRANCE,La Loire à Chadrac,3.904983,45.068005,3.904983,45.068005,595,1310.0,1323.246,0,-1.011145038167946,1921-01-01,1996-11-12,76,908,27619,14867,91.0,27556.0,0.0,63.0,A,,732,21,"['FR003780', 'FR003781', 'FR003782', 'FR000868', 'FR000869', 'FR000870', 'FR000871', 'FR000872', 'FR000873', 'FR000874', 'FR000875', 'FR000876', 'FR000877', 'FR000878', 'FR000879', 'FR000880', 'FR000881', 'FR000882', 'FR000883', 'FR000884', 'FR000885', 'FR000886', 'FR000887']"
DEBY0649,53216954,Wunsiedel i. Fichtelgebirge,DE,DE_BY,Kössein,12.10280844625042,50.00377105196502,12.10280844625042,50.00377105196502,507.66,70.1,70.401,0,-0.4293865905848815,1970-11-01,2023-08-19,54,592,17283,16863,2002.0,0.0,17283.0,0.0,D,,3,1,['DEBY0649']
ES000055,1285,RALES                              ,ES,ES_CEDEX,,-4.88983366,43.4098676,-4.889833668034062,43.40986760117063,35,99.0,99.138,0,-0.1393939393939446,1987-10-01,2019-09-30,33,384,11567,9094,121.0,0.0,11567.0,0.0,B,,529,2,"['ES000054', 'ES000055']"
FR002925,Y345402001,Y3444010,FR,FR_EAUFRANCE,Le Vidourle à Salinelles [Moulin de Runel],4.068202000000001,43.822257,4.068202000000001,43.822257,25,539.0,556.899,0,-3.3207792207792206,1994-01-13,2007-02-25,14,153,4574,3217,218.0,4256.0,0.0,318.0,C,,758,10,"['FR004914', 'FR004915', 'FR002918', 'FR002919', 'FR002920', 'FR002921', 'FR002922', 'FR002923', 'FR002924', 'FR002925']"
DK000380,19000010, VESTBÆK BRO,DK,DK_ODA,FISKBÆK Å,9.255320747,56.50382098,9.255320747420082,56.50382098365171,,95.6,108.814,2,-13.822175732217572,1978-01-01,1985-12-31,7,84,2556,2191,366.0,2556.0,0.0,0.0,D,,225,4,"['DK000385', 'DK000408', 'DK000417', 'DK000380']"
GB000462,54028,Vyrnwy at Llanymynech,GB,GB_NRFA,Vyrnwy at Llanymynech,-3.11,52.77,-3.11,52.77,62,779.14,779.568,0,-0.0549323613214566,1969-12-17,2021-09-30,53,622,18915,18551,1.0,0.0,18915.0,0.0,B,,1095,3,"['GB000445', 'GB000462', 'GB000467']"
DEBY0472,24162206,Coburg,DE,DE_BY,Itz,10.9621149168047,50.24916087408403,10.9621149168047,50.24916087408403,282.86,366.6,363.065,0,0.9642662302236836,1925-11-01,2023-08-19,95,1072,31893,24533,3828.0,0.0,31893.0,0.0,D,,1,7,"['DEBY0472', 'DEBY0540', 'DEBY0608', 'DEBY0660', 'DEBY0676', 'DEBY0692', 'DEBY0780']"
DESH1329,114018,Bünsdorf,DE,DE_SH,Schirnau,9.745614409543624,54.36814406454855,9.745614409543624,54.36814406454855,2.452 m NHN,48.15,49.92,0,-3.676012461059196,2003-09-24,2023-02-21,21,234,7091,7091,0.0,0.0,7091.0,0.0,B,,102,3,"['DESH1329', 'DESH1368', 'DESH1369', 'DESH1376']"
FR002846,Y132501001,Y1325010,FR,FR_EAUFRANCE,Le ruisseau de Tréboul à Villepinte,2.088615,43.276608,2.088615,43.276608,132,142.0,158.878,2,-11.885915492957738,1971-10-05,2022-11-23,52,613,18514,6734,164.0,15867.0,322.0,2325.0,C,,752,1,['FR002846']
SE000023,1378,RÖÅN,SE,SE_SMHI,RÖÅN,16.7541,63.6407,16.7541,63.6407,,583.8,579.941,0,0.6610140459061192,1943-08-01,2023-04-10,81,957,29059,28887,49.0,28743.0,0.0,316.0,A,,1718,1,['SE000023']
